,client_id,gender,birth_date,district_id
132,142,M,1937-06-21,68
133,143,M,1978-07-09,27
134,144,M,1958-12-06,65
135,145,M,1978-02-14,55
136,146,F,1961-12-19,31
137,147,F,1933-11-02,21
138,148,M,1940-12-25,21
139,149,M,1948-06-27,55
140,150,F,1980-09-27,2
141,151,F,1971-09-23,51
142,152,F,1945-12-02,29
143,153,F,1981-02-12,13
144,154,M,1933-08-27,74
145,155,F,1939-03-13,74
146,156,F,1930-07-22,54
147,157,F,1943-07-09,52
148,158,F,1945-07-03,40
149,159,M,1938-09-10,40
150,160,F,1942-04-26,64
151,161,F,1943-10-07,34
152,162,M,1941-10-17,65
153,163,M,1933-06-12,74
154,164,F,1962-04-04,70
155,165,M,1968-11-08,22
156,166,F,1961-10-22,22
157,167,F,1978-04-18,38
158,168,F,1976-11-05,24
159,169,M,1953-09-12,38
160,170,F,1946-06-16,38
161,171,M,1929-06-25,51
162,172,F,1935-10-05,51
163,173,F,1918-12-08,21
164,174,M,1978-11-10,10
165,175,M,1960-07-13,31
166,176,M,1929-03-11,4
167,178,M,1960-12-22,8
168,179,M,1980-12-29,43
169,180,M,1982-01-19,73
170,181,M,1967-07-06,76
171,182,F,1959-07-13,76
172,183,F,1978-03-19,1
173,184,M,1972-06-05,1
174,185,M,1954-05-30,77
175,186,F,1961-02-22,46
176,187,M,1942-08-23,58
177,188,M,1960-09-02,64
178,189,M,1919-08-10,11
179,190,F,1947-10-31,37
180,191,M,1954-09-03,37
181,192,M,1971-02-28,70
182,193,M,1962-05-01,1
183,194,F,1924-12-20,28
184,195,M,1919-11-18,74
185,196,F,1927-06-25,74
186,197,M,1933-04-25,30
187,198,M,1976-07-14,60
188,199,M,1923-06-21,29
189,200,F,1928-01-13,29
190,201,F,1930-08-19,17
191,202,F,1976-11-21,29
192,203,M,1962-06-10,31
193,204,F,1967-06-17,31
194,205,F,1942-06-15,4
195,206,F,1963-04-13,59
196,207,M,1932-05-20,46
197,208,F,1940-06-25,13
198,209,M,1935-08-20,13
199,210,M,1939-11-30,66
200,211,F,1945-06-28,66
201,212,M,1975-02-10,52
202,215,M,1967-09-24,71
203,216,M,1960-01-30,1
204,217,F,1974-12-22,59
205,218,F,1980-01-23,1
206,219,F,1964-04-02,60
207,221,F,1977-02-25,21
208,222,F,1972-06-29,47
209,223,F,1952-02-27,43
210,224,M,1955-05-11,77
211,225,M,1936-05-10,32
212,226,M,1942-06-16,1
213,227,F,1926-12-18,52
214,228,F,1956-03-16,48
215,229,M,1969-07-22,76
216,230,F,1967-03-10,74
217,231,M,1941-02-18,41
218,232,F,1921-06-17,55
219,233,F,1958-12-03,69
220,234,M,1955-06-21,69
221,235,F,1943-08-28,44
222,236,M,1961-09-01,70
223,237,F,1969-02-22,70
224,238,F,1961-11-28,6
225,239,F,1974-09-10,1
226,240,F,1929-06-17,34
227,241,M,1959-01-23,70
228,242,F,1961-08-01,17
229,243,M,1954-02-10,63
230,246,F,1970-12-28,67
231,247,M,1957-05-08,1
232,248,F,1969-12-12,61
233,249,M,1970-05-05,61
234,250,F,1979-11-25,8
235,251,F,1976-03-03,54
236,252,F,1969-09-01,37
237,253,F,1947-05-12,48
238,254,M,1963-05-30,28
239,255,F,1951-10-11,27
240,256,F,1963-02-27,73
241,257,F,1942-11-04,22
242,258,M,1937-05-31,22
243,259,M,1966-06-08,31
244,260,F,1962-02-24,31
245,261,F,1937-12-07,38
246,262,M,1945-11-25,77
247,263,M,1962-05-20,68
248,264,M,1978-08-22,28
249,265,F,1933-01-07,72
250,266,F,1967-08-28,19
251,267,M,1967-06-12,37
252,268,F,1982-05-02,39
253,269,F,1923-12-03,15
254,270,M,1947-03-08,46
255,271,F,1945-07-27,46
256,272,F,1944-10-25,70
257,273,F,1972-05-15,27
258,274,F,1970-11-25,17
259,275,F,1918-11-12,1
260,276,M,1957-06-11,1
261,277,F,1961-11-28,1
262,278,F,1972-12-27,22
263,279,M,1970-05-16,22
264,280,F,1969-12-18,45
265,282,F,1938-02-24,73
266,283,M,1933-11-04,73
267,284,M,1974-08-06,10
268,285,M,1954-06-03,72
269,286,F,1952-04-18,72
270,287,M,1980-09-09,50
271,288,M,1962-04-21,6
272,289,M,1958-03-27,54
273,290,M,1959-01-12,72
274,291,F,1955-04-27,72
275,292,F,1958-09-06,15
276,293,M,1943-09-27,69
277,294,M,1968-03-21,58
278,295,M,1939-03-27,12
279,296,M,1974-03-01,65
280,297,F,1924-03-15,65
281,298,M,1921-06-13,65
282,300,F,1957-07-30,1
283,301,M,1942-01-10,28
284,302,M,1971-02-23,56
285,303,M,1946-05-06,74
286,304,F,1934-03-11,19
287,305,M,1938-06-08,46
288,308,F,1976-06-12,68
289,309,F,1969-12-14,37
290,310,M,1950-04-16,11
291,311,F,1930-09-16,64
292,312,M,1924-07-03,2
293,313,F,1942-05-11,24
294,314,M,1945-03-22,24
295,315,M,1967-05-01,54
296,316,M,1955-04-28,75
297,317,F,1957-10-06,64
298,318,F,1943-04-02,15
299,319,F,1929-04-04,19
300,320,M,1934-11-12,19
301,321,F,1943-10-24,47
302,322,M,1933-02-01,38
303,323,F,1938-04-04,38
304,324,M,1960-12-03,3
305,325,M,1960-02-21,3
306,326,F,1967-09-18,27
307,327,M,1968-10-13,27
308,328,F,1918-01-24,1
309,329,M,1964-12-03,11
310,330,F,1944-08-05,65
311,331,M,1942-03-02,1
312,332,M,1978-07-25,29
313,333,M,1971-10-19,38
314,334,M,1969-10-31,32
315,335,F,1967-07-22,73
316,336,F,1964-02-11,39
317,337,M,1957-05-08,39
318,338,F,1951-06-19,8
319,339,M,1966-07-30,1
320,340,F,1970-08-19,1
321,341,M,1977-03-16,69
322,342,F,1972-06-30,69
323,343,M,1919-11-19,44
324,344,F,1963-07-16,54
325,345,M,1953-12-07,17
326,346,F,1960-11-02,17
327,347,M,1959-12-13,71
328,348,F,1953-01-24,71
329,349,F,1927-05-27,39
330,350,F,1925-04-02,25
331,351,M,1973-05-01,1
332,352,M,1940-08-27,56
333,353,M,1965-10-26,7
334,354,F,1922-04-27,49
335,355,M,1930-05-31,49
336,356,F,1979-12-07,1
337,357,M,1979-03-30,1
338,358,F,1959-06-26,7
339,359,M,1970-02-16,66
340,360,M,1943-04-27,49
341,361,F,1977-05-25,74
342,362,F,1950-04-27,35
343,363,M,1942-07-01,35
344,364,F,1942-12-05,54
345,365,M,1930-01-09,1
346,366,F,1936-11-10,1
347,367,F,1963-09-03,60
348,368,M,1968-10-14,60
349,369,F,1930-11-06,7
350,370,F,1956-01-05,71
351,371,M,1942-07-16,4
352,372,M,1932-04-03,34
353,373,M,1936-02-28,16
354,374,M,1967-06-14,26
355,375,F,1969-09-29,61
356,376,F,1973-01-08,14
357,378,M,1978-05-15,50
358,379,F,1983-10-13,50
359,380,M,1973-01-19,41
360,381,F,1977-01-26,73
361,382,M,1978-06-30,73
362,383,F,1939-05-17,15
363,384,M,1935-10-08,15
364,385,M,1948-03-24,45
365,386,M,1980-08-21,62
366,387,M,1927-06-06,76
367,388,F,1950-10-30,36
368,389,F,1974-06-30,47
369,390,F,1977-01-27,47
370,391,F,1933-05-22,47
371,392,F,1950-04-01,74
372,393,M,1956-08-31,74
373,394,F,1924-05-18,52
374,395,M,1919-07-05,52
375,396,M,1920-05-02,1
376,397,M,1930-03-27,75
377,398,F,1925-03-26,61
378,399,M,1952-04-14,45
379,400,M,1933-12-27,1
380,401,F,1928-11-19,1
381,402,M,1943-12-25,3
382,403,F,1973-05-26,42
383,404,M,1967-04-20,42
384,405,F,1934-10-19,65
385,406,M,1977-05-15,36
386,407,F,1975-05-27,73
387,408,F,1978-02-22,35
388,409,M,1925-06-18,74
389,410,M,1962-12-20,62
390,411,F,1941-04-14,17
391,412,M,1944-04-17,17
392,413,F,1972-11-18,49
393,414,F,1947-10-19,46
394,415,M,1945-04-01,46
395,416,F,1932-10-07,1
396,417,M,1930-06-10,1
397,418,M,1966-10-13,28
398,419,F,1970-10-07,64
399,420,M,1978-03-13,18
400,421,M,1965-07-31,54
401,422,M,1946-12-07,69
402,423,M,1957-06-23,37
403,424,M,1947-10-08,1
404,425,M,1948-02-12,25
405,426,M,1937-06-01,72
406,427,F,1941-09-14,72
407,428,F,1919-11-16,47
408,429,F,1981-01-20,50
409,430,M,1920-07-28,39
410,431,F,1927-10-01,24
411,432,F,1952-03-26,59
412,433,M,1955-02-07,62
413,434,F,1943-01-30,70
414,435,M,1967-10-23,20
415,436,M,1955-06-15,2
416,437,F,1920-01-17,11
417,438,M,1938-09-28,32
418,439,F,1968-09-12,51
419,440,F,1970-07-07,15
420,441,M,1959-09-14,1
421,442,F,1971-12-16,1
422,443,M,1971-12-20,1
423,444,F,1960-08-01,74
424,445,F,1947-04-27,1
425,446,M,1952-03-19,1
426,447,M,1946-09-04,23
427,448,F,1970-08-15,77
428,450,M,1953-11-27,25
429,451,M,1979-04-14,12
430,452,F,1953-10-22,55
431,453,M,1969-07-16,67
432,454,F,1949-06-15,38
433,455,M,1920-07-26,68
434,456,M,1940-02-28,25
435,457,M,1950-09-26,70
436,458,M,1961-07-24,68
437,459,F,1967-07-23,32
438,461,F,1970-08-13,68
439,462,M,1970-12-21,14
440,463,M,1944-04-05,38
441,464,F,1959-07-30,24
442,465,M,1952-09-01,5
443,466,F,1947-11-19,1
444,467,M,1950-04-17,1
445,468,M,1959-04-27,72
446,469,F,1970-10-13,59
447,470,F,1954-04-21,30
448,471,M,1977-01-11,44
449,472,M,1981-12-27,36
450,473,F,1939-09-25,1
451,474,M,1949-05-31,46
452,476,F,1947-06-01,1
453,477,M,1954-07-20,1
454,478,M,1978-06-21,21
455,479,M,1947-08-20,11
456,480,F,1946-01-24,11
457,481,M,1927-01-22,69
458,482,F,1934-01-22,69
459,483,M,1944-06-19,1
460,484,F,1959-09-13,28
461,485,M,1978-05-16,32
462,486,M,1944-04-12,68
463,487,F,1922-04-01,1
464,488,M,1917-08-02,1
465,489,M,1940-10-07,41
466,490,M,1950-10-23,55
467,491,M,1966-08-05,63
468,492,M,1935-10-26,72
469,493,F,1942-06-04,41
470,494,M,1980-05-19,1
471,495,F,1937-04-07,49
472,496,F,1951-05-21,70
473,497,M,1953-02-02,74
474,498,F,1948-01-15,74
475,499,F,1935-07-08,18
476,500,M,1971-01-06,1
477,501,M,1937-10-28,62
478,502,M,1919-12-08,6
479,503,M,1959-07-24,73
480,504,M,1979-08-01,36
481,505,M,1977-12-21,13
482,506,M,1946-08-16,75
483,507,M,1954-11-16,75
484,508,M,1971-04-28,53
485,509,M,1980-05-02,73
486,510,M,1976-04-15,12
487,511,M,1959-02-18,9
488,512,F,1965-08-03,60
489,513,F,1974-01-11,8
490,514,M,1968-11-15,8
491,515,M,1932-05-26,1
492,516,F,1930-04-27,1
493,517,M,1965-07-25,63
494,518,F,1979-04-28,54
495,519,M,1980-04-13,18
496,520,F,1947-09-27,46
497,521,M,1975-12-25,69
498,522,F,1956-03-04,1
499,523,M,1922-12-17,38
500,524,F,1963-01-02,30
501,525,M,1969-08-14,30
502,526,M,1964-02-01,43
503,527,F,1966-08-18,43
504,528,M,1977-02-11,37
505,529,M,1978-11-05,69
506,530,F,1957-09-27,29
507,531,M,1976-10-04,27
508,532,F,1980-09-03,27
509,533,F,1941-05-19,54
510,534,M,1957-07-22,74
511,535,M,1937-09-09,26
512,536,M,1939-08-25,47
513,537,M,1935-01-16,1
514,538,F,1948-05-10,5
515,540,M,1921-07-28,19
516,541,F,1927-03-09,19
517,542,F,1921-02-09,59
518,543,F,1958-04-15,11
519,544,M,1948-11-16,63
520,545,F,1973-10-11,75
521,546,M,1953-08-25,7
522,547,M,1949-03-31,54
523,548,M,1937-12-04,49
524,550,M,1961-11-30,7
525,551,F,1976-07-05,47
526,552,F,1934-05-08,1
527,553,M,1941-04-07,1
528,554,F,1925-04-19,30
529,555,M,1926-10-21,30
530,556,M,1946-07-08,29
531,557,M,1939-07-17,51
532,558,F,1920-07-05,43
533,559,F,1972-09-05,32
534,560,F,1967-12-16,71
535,561,F,1962-11-10,74
536,562,F,1975-09-22,49
537,563,F,1961-09-09,72
538,564,M,1955-01-24,72
539,565,F,1959-07-03,64
540,566,F,1946-03-05,47
541,567,M,1950-05-02,47
542,568,F,1960-07-19,8
543,569,M,1962-06-15,73
544,570,F,1941-01-31,61
545,571,M,1924-09-27,3
546,572,F,1920-08-04,3
547,573,M,1967-08-10,69
548,574,M,1972-12-25,1
549,575,M,1970-04-04,58
550,576,F,1974-05-12,58
551,577,F,1963-12-05,1
552,578,F,1977-07-07,23
553,579,F,1933-05-31,72
554,581,F,1949-02-04,70
555,582,M,1950-09-26,1
556,583,F,1965-01-01,75
557,584,F,1976-05-13,33
558,585,F,1942-02-21,40
559,586,M,1947-11-03,40
560,587,F,1945-07-08,25
561,588,F,1960-10-20,61
562,589,M,1961-09-17,45
563,590,M,1949-02-15,44
564,591,F,1974-10-29,65
565,592,M,1965-07-18,26
566,593,F,1954-07-10,60
567,596,M,1948-10-24,69
568,597,M,1943-02-22,55
569,598,M,1970-12-31,1
570,599,F,1977-05-18,1
571,601,M,1966-03-12,56
572,602,F,1965-01-16,56
573,603,F,1966-03-09,13
574,604,F,1965-07-31,1
575,605,F,1970-08-27,1
576,606,F,1949-01-25,10
577,607,M,1964-03-30,64
578,608,M,1972-08-31,67
579,609,M,1962-09-02,52
580,610,F,1979-08-10,74
581,611,M,1952-10-13,36
582,612,F,1960-11-10,36
583,613,F,1977-08-10,1
584,614,F,1947-02-03,14
585,615,F,1949-09-13,68
586,616,M,1975-01-01,58
587,617,M,1974-03-14,70
588,618,F,1932-03-16,57
589,619,M,1920-09-07,6
590,620,F,1918-02-13,6
591,621,M,1939-03-17,54
592,622,F,1931-11-23,74
593,623,M,1925-09-04,24
594,624,F,1932-07-26,24
595,625,F,1978-11-24,60
596,626,M,1980-04-13,9
597,627,M,1972-04-11,17
598,628,F,1970-05-27,17
599,629,M,1976-03-10,16
600,630,M,1952-03-03,61
601,631,F,1956-03-22,70
602,632,M,1946-03-16,67
603,633,F,1938-06-12,67
604,635,F,1927-06-29,17
605,636,M,1935-02-17,17
606,637,F,1970-12-15,39
607,638,F,1961-02-03,54
608,639,M,1978-08-02,31
609,640,M,1979-04-15,26
610,641,F,1962-07-04,40
611,642,M,1963-10-25,40
612,643,F,1949-06-13,1
613,644,F,1961-04-23,35
614,645,M,1925-12-21,14
615,646,F,1922-09-29,34
616,647,M,1929-04-06,34
617,648,F,1935-09-28,70
618,649,F,1978-05-02,13
619,651,F,1976-01-27,54
620,652,M,1938-12-08,61
621,653,F,1930-11-21,1
622,654,F,1942-05-17,64
623,655,M,1942-12-10,32
624,656,M,1956-06-06,1
625,657,F,1926-07-10,8
626,658,M,1926-12-21,8
627,659,M,1965-12-07,24
628,660,M,1923-03-22,16
629,661,F,1919-01-15,16
630,662,M,1945-08-07,5
631,663,M,1923-01-20,24
632,664,F,1980-03-19,77
633,665,F,1932-04-05,62
634,666,M,1982-05-23,26
635,667,F,1981-07-20,26
636,668,F,1942-12-25,1
637,669,F,1956-12-19,12
638,670,M,1959-01-21,1
639,671,F,1971-02-27,10
640,672,F,1929-11-09,46
641,673,M,1939-10-29,36
642,674,F,1927-01-11,11
643,675,M,1975-11-12,50
644,676,M,1953-02-07,70
645,677,M,1963-05-24,5
646,678,F,1933-05-28,39
647,679,M,1940-03-19,8
648,680,F,1940-05-09,8
649,681,M,1977-01-15,15
650,682,M,1979-10-21,18
651,683,F,1945-08-29,76
652,684,F,1976-04-10,3
653,685,F,1930-12-13,72
654,686,F,1971-10-03,32
655,687,M,1975-01-28,32
656,688,M,1954-05-04,1
657,689,M,1964-08-02,70
658,690,M,1942-11-07,38
659,691,F,1944-01-13,38
660,692,F,1936-01-11,74
661,693,M,1935-03-17,74
662,694,M,1936-02-28,29
663,695,M,1955-06-27,28
664,696,F,1952-12-01,28
665,697,M,1974-05-01,1
666,698,M,1954-02-27,75
667,699,F,1922-04-22,26
668,700,M,1929-11-20,12
669,702,F,1968-11-07,31
670,703,M,1959-04-26,4
671,704,M,1975-05-01,54
672,705,M,1938-12-10,19
673,706,M,1948-08-05,1
674,707,M,1941-12-14,1
675,708,F,1977-11-27,50
676,709,M,1934-12-29,1
677,710,M,1925-11-28,23
678,711,F,1963-08-16,48
679,712,M,1962-12-04,54
680,713,F,1980-03-29,20
681,714,M,1970-10-08,31
682,715,F,1952-01-15,1
683,716,F,1954-12-04,1
684,717,M,1968-05-02,54
685,718,F,1960-02-28,54
686,719,M,1974-08-09,46
687,720,M,1954-09-06,29
688,721,M,1940-02-15,43
689,722,F,1970-11-25,62
690,723,F,1957-07-26,12
691,724,F,1953-02-02,65
692,725,M,1956-12-11,75
693,726,M,1935-02-13,16
694,727,F,1930-07-20,32
695,728,M,1932-01-20,32
696,729,F,1969-03-17,63
697,730,M,1973-08-14,63
698,731,F,1979-01-22,74
699,732,M,1978-07-05,74
700,733,M,1978-07-28,46
701,734,F,1985-01-14,46
702,735,M,1973-11-26,1
703,736,F,1977-04-26,1
704,737,M,1952-11-04,74
705,738,M,1920-03-26,25
706,739,M,1942-04-16,72
707,740,M,1923-11-07,55
708,741,M,1941-07-09,74
709,742,F,1951-10-15,1
710,743,M,1941-02-17,1
711,744,M,1940-07-18,26
712,745,F,1966-02-14,52
713,746,M,1962-04-16,52
714,747,F,1953-08-20,24
715,748,M,1936-10-15,25
716,749,F,1933-07-29,25
717,750,F,1956-09-29,70
718,751,M,1959-03-09,70
719,752,M,1944-12-20,72
720,753,F,1940-09-24,72
721,754,F,1947-06-04,63
722,755,M,1947-11-21,72
723,756,M,1920-05-13,31
724,757,F,1970-12-20,71
725,758,F,1961-07-26,68
726,759,M,1955-05-20,29
727,760,F,1936-08-25,57
728,762,M,1937-04-20,21
729,763,F,1927-08-24,75
730,764,F,1955-10-13,49
731,765,M,1969-12-31,65
732,766,F,1926-07-03,1
733,767,M,1923-06-16,1
734,768,F,1931-09-23,32
735,769,M,1977-12-15,40
736,772,M,1944-12-10,64
737,773,M,1935-10-30,4
738,774,M,1973-03-03,70
739,775,F,1940-11-30,51
740,776,F,1953-05-03,1
741,777,M,1961-05-20,1
742,778,M,1940-06-04,13
743,779,F,1944-06-12,69
744,780,M,1924-02-26,3
745,781,M,1945-09-20,72
746,782,F,1963-03-18,5
747,783,F,1971-03-25,27
748,784,M,1964-12-28,27
749,785,M,1934-09-09,63
750,786,M,1978-09-06,53
751,787,M,1947-12-08,3
752,788,M,1974-09-03,47
753,789,M,1931-09-21,4
754,790,F,1967-05-09,63
755,791,F,1950-09-29,68
756,793,M,1978-02-04,21
757,794,F,1979-07-16,21
758,796,M,1919-08-30,1
759,797,M,1948-01-27,8
760,798,F,1940-02-12,27
761,799,M,1936-02-19,27
762,803,M,1951-02-15,35
763,804,F,1956-01-23,35
764,806,M,1980-04-22,60
765,807,F,1969-10-21,53
766,808,M,1963-11-28,31
767,809,M,1919-10-15,49
768,810,F,1945-09-24,58
769,811,M,1940-05-28,58
770,812,M,1940-12-06,39
771,813,M,1964-01-29,70
772,814,M,1959-10-01,19
773,815,F,1964-10-27,22
774,816,F,1958-02-01,17
775,818,M,1966-04-27,54
776,819,M,1958-07-08,74
777,820,F,1960-11-06,74
778,821,M,1948-05-12,49
779,822,F,1959-05-08,37
780,823,M,1956-10-24,41
781,824,M,1952-09-05,27
782,825,M,1977-04-02,74
783,826,M,1978-01-23,1
784,827,F,1965-09-04,10
785,828,M,1958-12-10,10
786,829,M,1957-05-19,24
787,830,M,1948-08-27,69
788,831,M,1948-05-02,2
789,832,F,1923-12-23,67
790,833,M,1960-06-11,5
791,834,M,1922-12-17,54
792,835,F,1943-10-20,28
793,836,M,1948-06-14,28
794,837,M,1974-10-14,71
795,838,F,1968-02-04,71
796,839,F,1955-05-18,47
797,840,M,1937-04-26,20
798,841,M,1981-02-10,69
799,842,F,1933-07-03,12
800,843,F,1957-09-03,54
801,844,M,1945-01-14,22
802,845,F,1953-01-30,22
803,846,M,1949-12-01,35
804,847,M,1979-12-25,49
805,849,F,1939-06-06,26
806,850,M,1969-09-21,19
807,851,M,1919-06-16,25
808,852,F,1916-06-04,25
809,853,M,1949-06-02,70
810,854,F,1941-11-02,72
811,855,M,1930-01-28,58
812,856,M,1919-01-22,23
813,857,M,1948-02-21,32
814,858,F,1959-03-29,47
815,859,F,1968-07-29,1
816,860,M,1967-12-08,1
817,861,F,1956-09-13,1
818,862,M,1952-01-05,30
819,863,F,1968-11-29,54
820,864,M,1953-03-27,11
821,865,F,1946-11-03,11
822,866,F,1975-11-24,38
823,870,M,1957-05-06,70
824,871,M,1974-03-11,76
825,872,M,1963-02-22,35
826,873,M,1944-01-05,60
827,874,F,1952-09-05,14
828,875,M,1956-12-07,14
829,876,M,1960-11-25,1
830,877,F,1927-01-21,5
831,878,M,1920-04-17,5
832,879,F,1943-12-08,38
833,880,M,1960-02-17,49
834,881,F,1975-02-22,5
835,882,F,1933-09-09,70
836,883,F,1920-01-06,75
837,884,M,1918-10-14,75
838,885,M,1923-02-08,34
839,886,M,1948-02-02,34
840,887,F,1973-11-28,66
841,888,M,1973-10-26,28
842,889,F,1981-10-24,54
843,890,M,1919-03-30,77
844,891,M,1931-01-31,33
845,892,F,1922-05-24,42
846,893,F,1935-10-23,43
847,894,M,1934-08-18,75
848,895,M,1970-07-03,39
849,896,F,1973-04-24,36
850,897,M,1981-03-25,36
851,898,F,1943-04-27,38
852,899,M,1944-02-13,38
853,900,M,1977-04-10,73
854,901,M,1919-12-21,39
855,902,M,1950-08-15,23
856,903,M,1934-03-06,31
857,904,M,1932-02-08,1
858,905,M,1940-10-23,38
859,906,M,1978-06-16,65
860,907,M,1948-03-11,51
861,908,F,1961-03-07,51
862,909,M,1975-09-07,23
863,910,M,1961-09-27,1
864,911,M,1939-11-28,43
865,912,M,1920-10-29,76
866,913,M,1938-11-18,1
867,914,F,1921-01-19,1
868,915,M,1975-05-03,12
869,916,M,1958-06-29,3
870,917,F,1973-09-16,25
871,918,M,1964-12-23,26
872,921,F,1954-02-13,7
873,922,F,1972-08-16,22
874,923,M,1978-08-22,22
875,924,M,1953-07-12,1
876,925,M,1959-08-13,54
877,926,M,1981-01-22,1
878,927,M,1974-10-26,1
879,928,F,1951-10-10,66
880,929,M,1935-04-23,30
881,930,F,1959-08-25,68
882,931,M,1968-06-07,16
883,932,M,1947-09-27,3
884,933,F,1978-03-11,33
885,934,M,1982-08-19,33
886,935,F,1946-05-17,42
887,936,M,1943-07-30,42
888,937,M,1931-11-14,1
889,938,F,1944-08-07,59
890,939,M,1952-08-03,21
891,940,M,1960-08-11,53
892,941,M,1935-10-05,10
893,942,F,1931-09-02,12
894,943,M,1936-09-26,12
895,944,M,1970-12-18,39
896,945,F,1977-01-10,39
897,946,M,1951-08-06,54
898,948,M,1924-04-22,49
899,949,M,1976-07-27,3
900,950,F,1965-04-12,76
901,951,M,1960-09-17,76
902,952,F,1951-05-01,63
903,953,M,1937-10-17,25
904,954,F,1942-10-20,1
905,955,M,1970-01-28,57
906,956,M,1966-10-21,1
907,957,F,1941-12-23,56
908,958,M,1942-05-04,56
909,959,F,1962-09-12,11
910,960,F,1957-04-13,16
911,961,F,1931-10-04,15
912,962,M,1966-02-19,19
913,963,F,1966-12-17,64
914,964,F,1953-10-21,10
915,965,F,1972-12-01,13
916,966,M,1978-09-02,13
917,967,M,1979-06-20,76
918,968,M,1957-02-17,69
919,970,M,1957-03-29,36
920,971,F,1919-01-01,46
921,972,M,1917-05-06,46
922,973,F,1970-10-06,14
923,974,M,1963-06-24,14
924,975,F,1959-07-12,1
925,976,F,1955-11-19,16
926,977,F,1926-05-10,76
927,978,F,1968-06-09,56
928,979,M,1966-11-18,56
929,980,M,1961-09-30,40
930,981,M,1960-06-28,5
